Row - DELETE LATER,Group - DELETE LATER,Plant - DELETE LATER,RGP,Treatment,Capitulum,AvgCapDia
8,6,2,862,Rosette Damage,7,2.25
8,6,2,862,Rosette Damage,8,2.65
8,6,2,862,Rosette Damage,9,1.85
8,6,2,862,Rosette Damage,10,3.15
8,6,2,862,Rosette Damage,11,2.3
8,6,2,862,Rosette Damage,12,1.65
8,6,3,863,Early Mow,1,0.45
8,6,4,864,Early Mow/Late Mow,1,0.9
8,6,4,864,Early Mow/Late Mow,2,0.65
8,6,4,864,Early Mow/Late Mow,3,0.75
8,8,1,881,Rosette Damage/Early Mow,1,2.3
8,8,1,881,Rosette Damage/Early Mow,2,2.1
8,8,1,881,Rosette Damage/Early Mow,3,2.35
8,8,1,881,Rosette Damage/Early Mow,4,1.65
8,8,4,884,Late Mow,1,0.45
9,5,1,911,Late Mow,1,1.85
9,5,1,911,Late Mow,2,1.8
9,1,1,911,Late Mow,,
9,1,2,912,Rosette Damage/Late Mow,,
9,1,3,913,Control,1,0.75
9,1,3,913,Control,2,2.15
9,1,3,913,Control,3,2.3
9,1,3,913,Control,4,2.15
9,1,3,913,Control,5,1.6
9,1,4,914,Early Mow/Late Mow,1,0.5
9,1,4,914,Early Mow/Late Mow,2,1.35
9,3,1,931,Rosette Damage/Early Mow,1,1
9,3,1,931,Rosette Damage/Early Mow,2,0.9
9,3,1,931,Rosette Damage/Early Mow,3,1.2
9,3,1,931,Rosette Damage/Early Mow,4,1.15
9,3,1,931,Rosette Damage/Early Mow,5,1.15
9,3,1,931,Rosette Damage/Early Mow,6,2.15
9,3,1,931,Rosette Damage/Early Mow,7,1.8
9,3,1,931,Rosette Damage/Early Mow,8,1.85
9,3,1,931,Rosette Damage/Early Mow,9,2.6
9,3,1,931,Rosette Damage/Early Mow,10,2.3
9,3,1,931,Rosette Damage/Early Mow,11,1.45
9,3,1,931,Rosette Damage/Early Mow,12,1.9
9,3,1,931,Rosette Damage/Early Mow,13,2.2
9,3,1,931,Rosette Damage/Early Mow,14,1.65
9,3,1,931,Rosette Damage/Early Mow,15,1.9
9,3,2,932,Control,1,1
9,3,2,932,Control,2,2.95
9,3,2,932,Control,3,2.45
9,3,2,932,Control,4,2.7
9,3,2,932,Control,5,1.5
9,3,2,932,Control,6,1.95
9,3,2,932,Control,7,2.2
9,3,2,932,Control,8,2.1
9,3,2,932,Control,9,2.5
9,3,2,932,Control,10,2.3
9,3,2,932,Control,11,3
9,3,3,933,Early Mow/Late Mow,1,0.8
9,3,3,933,Early Mow/Late Mow,2,0.7
9,3,3,933,Early Mow/Late Mow,3,2.4
9,3,3,933,Early Mow/Late Mow,4,1.75
9,3,3,933,Early Mow/Late Mow,5,0.8
9,3,3,933,Early Mow/Late Mow,6,1.95
9,3,3,933,Early Mow/Late Mow,7,1.55
9,3,4,934,Early Mow,1,1.6
9,3,4,934,Early Mow,2,0.9
9,3,4,934,Early Mow,3,0.5
9,3,4,934,Early Mow,4,0.95
9,3,4,934,Early Mow,5,1.25
9,3,4,934,Early Mow,6,1.9
9,3,4,934,Early Mow,7,0.4
9,3,4,934,Early Mow,8,1.4
9,3,4,934,Early Mow,9,1.85
9,5,2,952,Control,1,2.15
9,5,2,952,Control,2,3.2
9,5,2,952,Control,3,3.35
9,5,2,952,Control,4,1.15
9,5,2,952,Control,5,1.35
9,5,2,952,Control,6,3.7
9,5,2,952,Control,7,2.4
9,5,2,952,Control,8,1.2
9,5,2,952,Control,9,2.7
9,5,2,952,Control,10,3.4
9,5,2,952,Control,11,2.6
9,5,3,953,Rosette Damage/Late Mow,,
9,5,4,954,Early Mow/Late Mow,1,0.55
9,5,4,954,Early Mow/Late Mow,2,2.25
9,5,4,954,Early Mow/Late Mow,3,2.35
9,5,4,954,Early Mow/Late Mow,4,2.45
9,7,1,971,Rosette Damage/Early Mow/Late Mow,1,1.3
9,7,1,971,Rosette Damage/Early Mow/Late Mow,2,1.75
9,7,1,971,Rosette Damage/Early Mow/Late Mow,3,2.9
9,7,2,972,Rosette Damage/Early Mow,1,0.9
9,7,2,972,Rosette Damage/Early Mow,2,1.95
9,7,2,972,Rosette Damage/Early Mow,3,2
9,7,2,972,Rosette Damage/Early Mow,4,1.85
9,7,2,972,Rosette Damage/Early Mow,5,1.1
9,7,2,972,Rosette Damage/Early Mow,6,1.25
9,7,2,972,Rosette Damage/Early Mow,7,1.3
9,7,3,973,Control,1,1.7
9,7,3,973,Control,2,3.15
9,7,3,973,Control,3,1.9
9,7,3,973,Control,4,3.75
9,7,3,973,Control,5,2.85
9,7,3,973,Control,6,2.4
9,7,3,973,Control,7,2.95
9,7,4,974,Late Mow,1,1.5
9,7,4,974,Late Mow,2,1.8
10,2,1,1021,Rosette Damage/Early Mow,1,1.15
10,2,1,1021,Rosette Damage/Early Mow,2,0.95
10,2,2,1022,Early Mow,1,0.65
10,2,2,1022,Early Mow,2,1.1
10,2,2,1022,Early Mow,3,1.35
10,2,2,1022,Early Mow,4,1.75
10,2,2,1022,Early Mow,5,2.3
10,2,3,1023,Rosette Damage,1,0.9
10,2,3,1023,Rosette Damage,2,1.7
10,2,3,1023,Rosette Damage,3,1.55
10,2,3,1023,Rosette Damage,4,2.1
10,2,3,1023,Rosette Damage,5,2.3
10,2,3,1023,Rosette Damage,6,2.3
10,2,3,1023,Rosette Damage,7,2.25
10,2,3,1023,Rosette Damage,8,2.95
10,2,3,1023,Rosette Damage,9,2.9
10,2,3,1023,Rosette Damage,10,1.25
10,2,3,1023,Rosette Damage,11,2.45
10,2,3,1023,Rosette Damage,12,2.6
10,2,4,1024,Rosette Damage/Early Mow/Late Mow,1,0.9
10,4,1,1041,Rosette Damage,1,0.8
10,4,1,1041,Rosette Damage,2,1.15
10,4,1,1041,Rosette Damage,3,0.8
10,4,1,1041,Rosette Damage,4,1.05
10,4,1,1041,Rosette Damage,5,0.95
10,4,1,1041,Rosette Damage,6,1.15
10,4,1,1041,Rosette Damage,7,1.5
10,4,1,1041,Rosette Damage,8,3.6
10,4,1,1041,Rosette Damage,9,1.9
10,4,1,1041,Rosette Damage,10,1.6
10,4,1,1041,Rosette Damage,11,2.05
10,4,2,1042,Rosette Damage/Late Mow,,
10,4,3,1043,Late Mow,,
10,4,4,1044,Rosette Damage/Early Mow/Late Mow,1,0.55
10,4,4,1044,Rosette Damage/Early Mow/Late Mow,2,1.25
10,6,1,1061,Late Mow,1,0.8
10,6,1,1061,Late Mow,2,1
10,6,1,1061,Late Mow,3,2.6
10,6,1,1061,Late Mow,4,1.4
10,6,1,1061,Late Mow,5,2.15
10,6,2,1062,Rosette Damage/Early Mow,1,0.7
10,6,2,1062,Rosette Damage/Early Mow,2,1.45
10,6,2,1062,Rosette Damage/Early Mow,3,2.25
10,6,2,1062,Rosette Damage/Early Mow,4,2.5
10,6,3,1063,Early Mow,1,1.05
10,6,3,1063,Early Mow,2,1.05
10,6,4,1064,Rosette Damage,1,0.95
10,6,4,1064,Rosette Damage,2,1.45
10,6,4,1064,Rosette Damage,3,3.25
10,6,4,1064,Rosette Damage,4,2.95
10,6,4,1064,Rosette Damage,5,2.2
10,8,1,1081,Early Mow,1,0.6
10,8,1,1081,Early Mow,2,1.9
10,8,1,1081,Early Mow,3,1.4
10,8,1,1081,Early Mow,4,1.3
10,8,1,1081,Early Mow,5,1.85
10,8,2,1082,Rosette Damage,1,1.15
10,8,2,1082,Rosette Damage,2,1.2
10,8,2,1082,Rosette Damage,3,1.75
10,8,2,1082,Rosette Damage,4,1.95
10,8,2,1082,Rosette Damage,5,2.45
10,8,2,1082,Rosette Damage,6,2
10,8,2,1082,Rosette Damage,7,1.9
10,8,2,1082,Rosette Damage,8,2.5
10,8,2,1082,Rosette Damage,9,2.65
10,8,2,1082,Rosette Damage,10,3
10,8,3,1083,Early Mow/Late Mow,1,0.55
10,8,3,1083,Early Mow/Late Mow,2,0.95
10,8,3,1083,Early Mow/Late Mow,3,1.35
10,8,3,1083,Early Mow/Late Mow,4,1.5
10,8,3,1083,Early Mow/Late Mow,5,2.05
10,8,3,1083,Early Mow/Late Mow,6,1.35
10,8,3,1083,Early Mow/Late Mow,7,1.65
10,8,4,1084,Rosette Damage/Late Mow,,
